NAME,population,metropolitan statistical area/micropolitan statistical area
"Janesville-Beloit, WI Metro Area",164381.0,27500
"Kahului-Wailuku-Lahaina, HI Metro Area",164268.0,27980
"Sebastian-Vero Beach, FL Metro Area",163662.0,42680
"Idaho Falls, ID Metro Area",163293.0,26820
"Tupelo, MS Micro Area",163162.0,46180
"Bloomington, IN Metro Area",161321.0,14020
"Odessa, TX Metro Area",161091.0,36220
"Jackson, MI Metro Area",160050.0,27100
"Madera, CA Metro Area",159410.0,31460
"Homosassa Springs, FL Metro Area",158083.0,26140
"State College, PA Metro Area",157527.0,44300
"Grand Junction, CO Metro Area",157335.0,24300
"Elizabethtown-Fort Knox, KY Metro Area",157318.0,21060
"Decatur, AL Metro Area",156758.0,19460
"Chambersburg-Waynesboro, PA Metro Area",156289.0,16540
"Monroe, MI Metro Area",155274.0,33780
"Concord, NH Micro Area",155238.0,18180
"Santa Fe, NM Metro Area",155201.0,42140
"Traverse City, MI Micro Area",154685.0,45900
"Vineland-Bridgeton, NJ Metro Area",153627.0,47220
"Hanford-Corcoran, CA Metro Area",153443.0,25260
"Niles, MI Metro Area",153101.0,35660
"Bangor, ME Metro Area",152765.0,12620
"Logan, UT-ID Metro Area",152492.0,30860
"Jefferson City, MO Metro Area",151698.0,27620
"Dothan, AL Metro Area",151618.0,20020
"Florence-Muscle Shoals, AL Metro Area",151517.0,22520
"Alexandria, LA Metro Area",150890.0,10780
"London, KY Micro Area",150561.0,30940
"Sioux City, IA-NE-SD Metro Area",149400.0,43580
"Wichita Falls, TX Metro Area",149013.0,48660
"Valdosta, GA Metro Area",147916.0,46660
"Ottawa, IL Micro Area",147165.0,36837
"Albany, GA Metro Area",146961.0,10500
"Texarkana, TX-AR Metro Area",146424.0,45500
"Flagstaff, AZ Metro Area",145052.0,22380
"Morristown, TN Metro Area",143855.0,34100
"Rocky Mount, NC Metro Area",143535.0,40580
"Lebanon, PA Metro Area",143493.0,30140
"Pottsville, PA Micro Area",143264.0,39060
"Dalton, GA Metro Area",142799.0,19140
"Winchester, VA-WV Metro Area",142562.0,49020
"Rapid City, SD Metro Area",141190.0,39660
"Morgantown, WV Metro Area",140745.0,34060
"Sherman-Denison, TX Metro Area",139336.0,43300
"La Crosse-Onalaska, WI-MN Metro Area",139211.0,29100
"Wheeling, WV-OH Metro Area",137740.0,48540
"Eureka-Arcata, CA Micro Area",136310.0,21700
"Napa, CA Metro Area",136207.0,34900
"Harrisonburg, VA Metro Area",135824.0,25500
"Sumter, SC Metro Area",135782.0,44940
"The Villages, FL Metro Area",135638.0,45540
"Springfield, OH Metro Area",135633.0,44220
"Hammond, LA Metro Area",135217.0,25220
"Jonesboro, AR Metro Area",134878.0,27860
"Bismarck, ND Metro Area",134028.0,13900
"Manhattan, KS Metro Area",133932.0,31740
"Battle Creek, MI Metro Area",133819.0,12980
"Carbondale-Marion, IL Metro Area",133006.0,16060
"Johnstown, PA Metro Area",132167.0,27780
"Mount Vernon-Anacortes, WA Metro Area",130696.0,34580
"Cleveland, TN Metro Area",129855.0,17420
"Albany-Lebanon, OR Metro Area",129839.0,10540
"Pittsfield, MA Metro Area",128657.0,38340
"Lawton, OK Metro Area",127078.0,30020
"Jamestown-Dunkirk-Fredonia, NY Micro Area",126807.0,27460
"Glens Falls, NY Metro Area",126574.0,24020
"Ames, IA Metro Area",126195.0,11180
"Sierra Vista-Douglas, AZ Metro Area",126050.0,43420
"Staunton, VA Metro Area",125774.0,44420
"Mansfield, OH Metro Area",125195.0,31900
"Augusta-Waterville, ME Micro Area",124486.0,12300
"Wenatchee, WA Metro Area",123342.0,48300
"Bozeman, MT Micro Area",122713.0,14580
"Owensboro, KY Metro Area",122696.0,36980
"San Angelo, TX Metro Area",122066.0,41660
"Altoona, PA Metro Area",121767.0,11020
"Farmington, NM Metro Area",120993.0,22140
"Holland, MI Micro Area",120950.0,26090
"New Bern, NC Metro Area",120508.0,35100
"St. Joseph, MO-KS Metro Area",120274.0,41140
"Missoula, MT Metro Area",119533.0,33540
"Lawrence, KS Metro Area",119363.0,29940
