population,msa,gender,edu,race
159276,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Graduate or professional degree,BLACK OR AFRICAN AMERICAN ALONE
32220,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,GED or alternative credential,TWO OR MORE RACES
125396,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"Some college, no degree",TWO OR MORE RACES
61947,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"9th to 12th grade, no diploma",TWO OR MORE RACES
172634,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Regular high school diploma,TWO OR MORE RACES
51159,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Associate's degree,TWO OR MORE RACES
147010,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree,TWO OR MORE RACES
752461,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,,TWO OR MORE RACES
79922,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than 9th grade,TWO OR MORE RACES
1571717,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,TWO OR MORE RACES
171808,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree,TWO OR MORE RACES
119109,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Graduate or professional degree,TWO OR MORE RACES
119226,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"Some college, no degree",TWO OR MORE RACES
69590,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Associate's degree,TWO OR MORE RACES
82173,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Graduate or professional degree,TWO OR MORE RACES
819256,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,,TWO OR MORE RACES
169980,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Regular high school diploma,TWO OR MORE RACES
26563,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,GED or alternative credential,TWO OR MORE RACES
82192,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than 9th grade,TWO OR MORE RACES
60788,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"9th to 12th grade, no diploma",TWO OR MORE RACES
407,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree or higher,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
876,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Some college or associate's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
